설치장소,설치목적,촬영범위,촬영시간,녹화물보관기간,관리책임자,카메라번호,검색용주소,latitude,longitude,좌표변환상태
"경상남도 창원시 성산구 연덕로 184번길 5, 경상남도 창원시 진해구동성샛별타운 앞_1",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,"경상남도 창원시 성산구 연덕로 184번길 5, 경상남도 창원시 진해구동성샛별타운 앞",35.2188948012201,128.666766713394,성공
"경상남도 창원시 성산구 연덕로 184번길 5, 경상남도 창원시 진해구동성샛별타운 앞_2",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,"경상남도 창원시 성산구 연덕로 184번길 5, 경상남도 창원시 진해구동성샛별타운 앞",35.2188948012201,128.666766713394,성공
경상남도 창원시 성산구 외동반림로 126번길 47_1,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 성산구 외동반림로 126번길 47,35.2277097290661,128.676130997233,성공
경상남도 창원시 성산구 외동반림로 126번길 47_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 성산구 외동반림로 126번길 47,35.2277097290661,128.676130997233,성공
경상남도 창원시 성산구 외동반림로 126번길 47_3,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,3,경상남도 창원시 성산구 외동반림로 126번길 47,35.2277097290661,128.676130997233,성공
경상남도 창원시 성산구 외동반림로 126번길 47_4,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,4,경상남도 창원시 성산구 외동반림로 126번길 47,35.2277097290661,128.676130997233,성공
경상남도 창원시 성산구 상남동 100-3_1,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 성산구 상남동 100-3,35.2171599054869,128.683899905432,성공
경상남도 창원시 성산구 상남동 100-3_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 성산구 상남동 100-3,35.2171599054869,128.683899905432,성공
"경상남도 창원시 성산구 동산로55번길 22, 경상남도 창원시 성산구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 동산로55번길 22, 경상남도 창원시 성산구",35.2160321883097,128.684626766743,성공
"경상남도 창원시 성산구 단정로98번길 24, 경상남도 창원시 성산구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 단정로98번길 24, 경상남도 창원시 성산구",35.2143853771186,128.687939657099,성공
"경상남도 창원시 성산구 단정로44번길 9, 경상남도 창원시 성산구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 단정로44번길 9, 경상남도 창원시 성산구",35.2184887954978,128.684350275674,성공
"경상남도 창원시 성산구 단정로76번길 14, 경상남도 창원시 성산구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 단정로76번길 14, 경상남도 창원시 성산구",35.2169791178514,128.686178735734,성공
"경상남도 창원시 성산구 동산로72번길 2, 경상남도 창원시 성산구_1",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,"경상남도 창원시 성산구 동산로72번길 2, 경상남도 창원시 성산구",35.2155322751228,128.687706545857,성공
