경로당명,도로명주소
 소답제2경로당,경상남도 창원시 의창구 읍성로 117번길23(소답동)
무학서문마을아파트경로당,경상남도 창원시 의창구 서상로12번길 83-15(서상동)
유니시티1단지아파트경로당,"경상남도 창원시 의창구 중동로 34(중동, 유니시티1단지아파트) 아파트 경로당"
유니시티2단지아파트경로당,"경상남도 창원시 의창구 중동로 33(중동, 유니시티2단지아파트) 아파트 경로당"
유니시티3단지아파트경로당,경상남도 창원시 의창구 중동로 77 (창원유니시티 3단지아파트) 아파트 경로당
유니시티4 시니어클럽경로당,"경상남도 창원시 의창구 중동로 78(중동, 유니시티4단지아파트) 아파트 경로당"
 의안경로당 ,경상남도 창원시 의창구 의안로22번길 7-1
팔룡제1경로당,경상남도 창원시 의창구 팔용로423번길 5
팔룡제2경로당,경상남도 창원시 의창구 사화로80번길 16 
구슬비경로당,경상남도 창원시 의창구 남산로27번길 16 
대동중앙(아)경로당,경상남도 창원시 의창구 반계로 101 
극동아파트경로당,경상남도 창원시 의창구 팔용로 446 
차룡대동(아)경로당,경상남도 창원시 의창구 반계로 95 
원풍벽산A단지경로당,경상남도 창원시 의창구 반계로 104-9
원풍벽산B단지경로당,경상남도 창원시 의창구 반계로 104-8
원풍벽산C단지경로당,경상남도 창원시 의창구 남산로 20 
힐스테이트아티움시티경로당,경상남도 창원시 의창구 창원대로397번길 11 
 명곡경로당 ,경상남도 창원시 의창구 태복산로15번길 8(도계동)
 낙원경로당 ,경상남도 창원시 의창구 도계로73번길 19(도계동)
 안골경로당 ,경상남도 창원시 의창구 하남천서길 65(도계동)
 도계경로당 ,경상남도 창원시 의창구 도계두리길86번길 14-2(도계동)
 새동네경로당 ,경상남도 창원시 의창구 도계로4번길 18-1(도계동)
 도계휴먼시아경로당 ,"경상남도 창원시 의창구 원이대로82번길 15-15(도계동, 도계휴먼시아)"
 명서2경로당 ,경상남도 창원시 의창구 우곡로 73(명서동)
 명서주민복지회관경로당 ,"경상남도 창원시 의창구  우곡로101번길 30-3, 1층(명서동)"
 명서1경로당 ,경상남도 창원시 의창구 원이대로270번길 18(명서동)
 명지경로당 ,경상남도 창원시 의창구 명서로123번길 9(명서동)
 서곡경로당 ,경상남도 창원시 의창구 명지로109번길 18(명서동)
