경로당명,도로명주소,지오코딩용주소,위도,경도,검색결과주소,매칭점수
 여좌경로당 ,경상남도 창원시  진해구 여좌로123번길 2(여좌동),경상남도 창원시 진해구 여좌로123번길 2,35.162366458756,128.662762087147,경상남도 창원시 진해구 여좌동 여좌로123번길 2,100.0
 여좌부녀경로당 ,경상남도 창원시  진해구 여좌로123번길 2-1(여좌동),경상남도 창원시 진해구 여좌로123번길 2-1,35.162467712146,128.662720093812,경상남도 창원시 진해구 여좌동 여좌로123번길 2-1,100.0
 여좌2가부녀경로당 ,경상남도 창원시  진해구  여좌로118번가길 19(여좌동),경상남도 창원시 진해구 여좌로118번가길 19,35.161647459102,128.665338265088,경상남도 창원시 진해구 여좌동 여좌로118번가길 19,100.0
 여좌장복경로당 ,경상남도 창원시  진해구 여좌로58번길 17(여좌동),경상남도 창원시 진해구 여좌로58번길 17,35.158039007875,128.662937185104,경상남도 창원시 진해구 여좌동 여좌로58번길 17,100.0
 여좌장복부녀경로당 ,경상남도 창원시  진해구 여좌로58번길 17(여좌동),경상남도 창원시 진해구 여좌로58번길 17,35.158039007875,128.662937185104,경상남도 창원시 진해구 여좌동 여좌로58번길 17,100.0
 여좌1가경로당 ,경상남도 창원시  진해구 여좌남로41번길 21(여좌동) ,경상남도 창원시 진해구 여좌남로41번길 21,35.157746144178,128.660652278299,경상남도 창원시 진해구 여좌동 여좌남로41번길 21,100.0
 여좌1가부녀경로당 ,경상남도 창원시  진해구 여좌남로41번길 21 (여좌동),경상남도 창원시 진해구 여좌남로41번길 21,35.157746144178,128.660652278299,경상남도 창원시 진해구 여좌동 여좌남로41번길 21,100.0
 여좌재건경로당 ,경상남도 창원시  진해구 여좌로15번길 26(여좌동),경상남도 창원시 진해구 여좌로15번길 26,35.154009910838,128.662735516514,경상남도 창원시 진해구 여좌동 여좌로15번길 26,100.0
 여좌재건부녀경로당 ,경상남도 창원시  진해구 여좌로15번길 26(여좌동),경상남도 창원시 진해구 여좌로15번길 26,35.154009910838,128.662735516514,경상남도 창원시 진해구 여좌동 여좌로15번길 26,100.0
 대광APT 경로당 ,"경상남도 창원시  진해구 여명남로16번길 22(여좌동, 대광아파트)",경상남도 창원시 진해구 여명남로16번길 22,35.154086,128.658653,"경상남도 창원시 진해구 여좌동 760-24, 대광아파트",100.0
 여명경로당 ,경상남도 창원시  진해구 여명로 56(여좌동),경상남도 창원시 진해구 여명로 56,35.157399762029,128.658488741451,경상남도 창원시 진해구 여좌동 여명로 56,100.0
 여명부녀경로당 ,경상남도 창원시  진해구 여명로 56(여좌동),경상남도 창원시 진해구 여명로 56,35.157399762029,128.658488741451,경상남도 창원시 진해구 여좌동 여명로 56,100.0
 육대경로당 ,경상남도 창원시  진해구 여좌로 34(여좌동),경상남도 창원시 진해구 여좌로 34,35.155265100838,128.664845493,경상남도 창원시 진해구 여좌동 여좌로 34,100.0
 제광경로당 ,경상남도 창원시  진해구 충장로 249번길26(경화동),경상남도 창원시 진해구 충장로 249,35.153025638503,128.679308947878,경상남도 창원시 진해구 경화동 충장로 249,100.0
 제광부녀경로당 ,경상남도 창원시  진해구 충장로 249번길26(경화동),경상남도 창원시 진해구 충장로 249,35.153025638503,128.679308947878,경상남도 창원시 진해구 경화동 충장로 249,100.0
 태백동새동네경로당 ,경상남도 창원시  진해구 태백서로 62(태백동),경상남도 창원시 진해구 태백서로 62,35.156377044114,128.674849210621,경상남도 창원시 진해구 태백동 태백서로 62,100.0
 태백동새동네부녀경로당 ,경상남도 창원시  진해구 태백서로 62(태백동),경상남도 창원시 진해구 태백서로 62,35.156377044114,128.674849210621,경상남도 창원시 진해구 태백동 태백서로 62,100.0
 태백동경로당 ,경상남도 창원시  진해구 태백서로 12-5(태백동),경상남도 창원시 진해구 태백서로 12-5,35.153360061885,128.672656001836,경상남도 창원시 진해구 여좌동 태백서로 12-5,100.0
 태백동부녀경로당 ,경상남도 창원시  진해구 태백서로 12-5(태백동),경상남도 창원시 진해구 태백서로 12-5,35.153360061885,128.672656001836,경상남도 창원시 진해구 여좌동 태백서로 12-5,100.0
경화동경로당,경상남도 창원시  진해구 경화로29번길 10-1(경화동),경상남도 창원시 진해구 경화로29번길 10-1,35.156127724404,128.685066247678,경상남도 창원시 진해구 경화동 경화로29번길 10-1,100.0
경화동부녀경로당,경상남도 창원시  진해구 경화로29번길 10-1(경화동),경상남도 창원시 진해구 경화로29번길 10-1,35.156127724404,128.685066247678,경상남도 창원시 진해구 경화동 경화로29번길 10-1,100.0
경일경로당,경상남도 창원시  진해구 충장로285번길 10(경화동),경상남도 창원시 진해구 충장로285번길 10,35.154792068133,128.683261875381,경상남도 창원시 진해구 경화동 충장로285번길 10,100.0
경일부녀경로당,경상남도 창원시  진해구 충장로285번길 10(경화동),경상남도 창원시 진해구 충장로285번길 10,35.154792068133,128.683261875381,경상남도 창원시 진해구 경화동 충장로285번길 10,100.0
조천경로당,경상남도 창원시  진해구 조천로 5-7(경화동),경상남도 창원시 진해구 조천로 5-7,35.158599086645,128.683302527612,경상남도 창원시 진해구 경화동 조천로 5-7,100.0
조천부녀경로당,경상남도 창원시  진해구 조천로 5-7(경화동),경상남도 창원시 진해구 조천로 5-7,35.158599086645,128.683302527612,경상남도 창원시 진해구 경화동 조천로 5-7,100.0
경화포스코경로당,"경상남도 창원시  진해구 조천북로 65(경화동, 포스코더샵아파트)",경상남도 창원시 진해구 조천북로 65,35.160028620232,128.679962506834,경상남도 창원시 진해구 경화동 조천북로 65,100.0
삼정그린코아경로당,"경상남도 창원시  진해구 조천북로 97, 104동(경화동, 삼정그린코아1단지)",경상남도 창원시 진해구 조천북로 97,35.161475755815,128.68223442169,경상남도 창원시 진해구 경화동 조천북로 97,100.0
경화동새마을경로당,경상남도 창원시  진해구 조천북로85번길 21(경화동),경상남도 창원시 진해구 조천북로85번길 21,35.162639864642,128.680796680032,경상남도 창원시 진해구 경화동 조천북로85번길 21,100.0
경화대동다숲경로당,"경상남도 창원시  진해구 조천북로 79, 1층(관리동)(경화동, 경화대동다숲아파트)",경상남도 창원시 진해구 조천북로 79,35.161054774728,128.680264590625,경상남도 창원시 진해구 경화동 조천북로 79,100.0
 병암동경로당 ,"경상남도 창원시  진해구 경화로18번길 25(경화동), 2층",경상남도 창원시 진해구 경화로18번길 25,35.155271135809,128.688957043313,경상남도 창원시 진해구 경화동 경화로18번길 25,100.0
 병암동부녀경로당 ,"경상남도 창원시  진해구 경화로18번길 25(경화동), 1층",경상남도 창원시 진해구 경화로18번길 25,35.155271135809,128.688957043313,경상남도 창원시 진해구 경화동 경화로18번길 25,100.0
 상지아파트경로당 ,"경상남도 창원시  진해구 병암북로4번길 37(석동, 상지약수아파트)",경상남도 창원시 진해구 병암북로4번길 37,35.16082611641,128.694246108036,경상남도 창원시 진해구 석동 병암북로4번길 37,100.0
 경화아파트경로당 ,"경상남도 창원시  진해구 경화시장로 34-3(경화동, 경화아파트)",경상남도 창원시 진해구 경화시장로 34-3,35.156605073789,128.691118149409,경상남도 창원시 진해구 경화동 경화시장로 34-3,100.0
 병암동사랑방경로당 ,경상남도 창원시  진해구 진해대로694번길 14(경화동),경상남도 창원시 진해구 진해대로694번길 14,35.15824373586,128.691326272064,경상남도 창원시 진해구 경화동 진해대로694번길 14,100.0
 병암동행복경로당 ,경상남도 창원시  진해구 충장로364번나길 9-23(이동),경상남도 창원시 진해구 충장로364번나길 9-23,35.151787826396,128.690993091413,경상남도 창원시 진해구 이동 충장로364번나길 9-23,100.0
 경화주공아파트경로당 ,"경상남도 창원시  진해구 충장로345번길 50(경화동, 경화주공아파트)",경상남도 창원시 진해구 충장로345번길 50,35.158177854101,128.688969867625,경상남도 창원시 진해구 경화동 충장로345번길 50,100.0
 석동경로당 ,경상남도 창원시  진해구 돌리로10번길 5-1(석동),경상남도 창원시 진해구 돌리로10번길 5-1,35.15888092814,128.701150784595,경상남도 창원시 진해구 석동 돌리로10번길 5-1,100.0
 석동부녀경로당 ,경상남도 창원시  진해구 돌리로10번길 5-1(석동),경상남도 창원시 진해구 돌리로10번길 5-1,35.15888092814,128.701150784595,경상남도 창원시 진해구 석동 돌리로10번길 5-1,100.0
 한솔솔파크경로당 ,"경상남도 창원시  진해구 돌리로16번길 18(석동, 진해석동한솔솔파크2단지)",경상남도 창원시 진해구 돌리로16번길 18,35.158490289542,128.702489709809,경상남도 창원시 진해구 석동 돌리로16번길 18,100.0
 석동그린빌2단지경로당 ,"경상남도 창원시  진해구 냉천로107번길 14, 210동(석동, 벚꽃그린빌주공2단지)",경상남도 창원시 진해구 냉천로107번길 14,35.154176920259,128.70862727459,경상남도 창원시 진해구 석동 냉천로107번길 14,100.0
벚꽃그린빌3단지경로당,"경상남도 창원시  진해구 석동로 60, 관리사무소동(석동, 벚꽃그린빌주공3단지) 관리사무소동",경상남도 창원시 진해구 석동로 60,35.154797851646,128.706569098265,경상남도 창원시 진해구 석동 석동로 60,100.0
석동그린빌4단지경로당,"경상남도 창원시  진해구 석동로 80, 409동(석동, 벚꽃그린빌주공4단지)",경상남도 창원시 진해구 석동로 80,35.156111966426,128.707779277446,경상남도 창원시 진해구 석동 석동로 80,100.0
석동공원경로당,경상남도 창원시  진해구 석동로34번길 14(석동),경상남도 창원시 진해구 석동로34번길 14,35.153469403811,128.703189263448,경상남도 창원시 진해구 석동 석동로34번길 14,100.0
석동공원부녀경로당,경상남도 창원시  진해구 석동로34번길 14(석동),경상남도 창원시 진해구 석동로34번길 14,35.153469403811,128.703189263448,경상남도 창원시 진해구 석동 석동로34번길 14,100.0
이동신성미소지움아파트경로당,"경상남도 창원시  진해구 동진로21번길 17(이동, 진해이동미소지움1단지)",경상남도 창원시 진해구 동진로21번길 17,35.155587133558,128.698490033251,경상남도 창원시 진해구 이동 동진로21번길 17,100.0
