grid_id,latitude,longitude,cctv_exist,light_exist,wifi_exist,child_risk_pct,elderly_risk_pct
G058127,35.243258,128.686486,1,1,1,0.0,0.0
G058424,35.279308,128.688111,1,1,1,0.0,0.0
G058542,35.153986,128.687384,1,1,1,0.0,2.61
G059073,35.153964,128.689579,1,1,1,0.0,0.0
G059427,35.227878,128.691756,1,1,1,0.0,0.0
G060764,35.208892,128.696971,1,1,1,0.0,0.0
G060779,35.222415,128.69717,1,1,1,0.0,0.0
G061056,35.221503,128.698255,1,1,1,0.0,0.0
G061600,35.213367,128.700333,1,1,1,17.37,6.59
G061817,35.157462,128.700609,1,1,1,0.0,22.82
G061892,35.225076,128.701604,1,1,1,0.0,0.0
G062908,35.155616,128.704973,1,1,1,0.0,0.0
G063156,35.146589,128.705938,1,1,1,0.0,0.0
G063157,35.147491,128.705951,1,1,1,0.0,0.0
G063161,35.151097,128.706005,1,1,1,0.0,0.0
G063327,35.335004,128.708731,1,1,1,0.0,32.64
G063742,35.215984,128.709161,1,1,1,0.0,0.0
G070288,35.11369,128.749345,1,1,1,0.0,0.0
G070515,35.110963,128.751498,1,1,1,0.0,4.17
G073189,35.125967,128.782457,1,1,1,0.0,28.47
